# IdentifierStatus.txt
# Date: 2025-08-01, 18:11:48 GMT
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Unicode Security Mechanisms for UTS #39
# Version: 17.0.0
#
# For documentation and usage, see https://www.unicode.org/reports/tr39
#
# Format
#
# Field 0: code point
# Field 1: Identifier_Status value
#          See the "Identifier_Status and Identifier_Type" table of UTS #39:
#          https://www.unicode.org/reports/tr39/#Identifier_Status_and_Type

#
# For the purpose of regular expressions, the property Identifier_Status is defined as
# an enumerated property of code points.
# The short name of Identifier_Status is ID_Status.
# The possible values are:
#   Allowed, Restricted
# The short name of each value is the same as its long name.

# All code points not explicitly listed for Identifier_Status
# have the value Restricted.

# @missing: 0000..10FFFF; Restricted


#	Identifier_Status:	Allowed

01B2..01B4    ; Allowed    # 1.1    [3] LATIN CAPITAL LETTER V WITH HOOK..LATIN SMALL LETTER Y WITH HOOK
01B7          ; Allowed    # 1.1        LATIN CAPITAL LETTER EZH
01CD..01D4    ; Allowed    # 1.1    [8] LATIN CAPITAL LETTER A WITH CARON..LATIN SMALL LETTER U WITH CARON
01DD          ; Allowed    # 1.1        LATIN SMALL LETTER TURNED E
01E6..01E9    ; Allowed    # 1.1    [4] LATIN CAPITAL LETTER G WITH CARON..LATIN SMALL LETTER K WITH CARON
01EE..01EF    ; Allowed    # 1.1    [2] LATIN CAPITAL LETTER EZH WITH CARON..LATIN SMALL LETTER EZH WITH CARON
01F8..01F9    ; Allowed    # 3.0    [2] LATIN CAPITAL LETTER N WITH GRAVE..LATIN SMALL LETTER N WITH GRAVE
0218..021B    ; Allowed    # 3.0    [4] LATIN CAPITAL LETTER S WITH COMMA BELOW..LATIN SMALL LETTER T WITH COMMA BELOW
0244          ; Allowed    # 5.0        LATIN CAPITAL LETTER U BAR
024C..024D    ; Allowed    # 5.0    [2] LATIN CAPITAL LETTER R WITH STROKE..LATIN SMALL LETTER R WITH STROKE
0253..0254    ; Allowed    # 1.1    [2] LATIN SMALL LETTER B WITH HOOK..LATIN SMALL LETTER OPEN O
0256..0257    ; Allowed    # 1.1    [2] LATIN SMALL LETTER D WITH TAIL..LATIN SMALL LETTER D WITH HOOK
0259          ; Allowed    # 1.1        LATIN SMALL LETTER SCHWA
025B          ; Allowed    # 1.1        LATIN SMALL LETTER OPEN E
0263          ; Allowed    # 1.1        LATIN SMALL LETTER GAMMA
0268..0269    ; Allowed    # 1.1    [2] LATIN SMALL LETTER I WITH STROKE..LATIN SMALL LETTER IOTA
0272          ; Allowed    # 1.1        LATIN SMALL LETTER N WITH LEFT HOOK
0289          ; Allowed    # 1.1        LATIN SMALL LETTER U BAR
028B          ; Allowed    # 1.1        LATIN SMALL LETTER V WITH HOOK
0292          ; Allowed    # 1.1        LATIN SMALL LETTER EZH
02BB..02BC    ; Allowed    # 1.1    [2] MODIFIER LETTER TURNED COMMA..MODIFIER LETTER APOSTROPHE
0300..0304    ; Allowed    # 1.1    [5] COMBINING GRAVE ACCENT..COMBINING MACRON
0306..030C    ; Allowed    # 1.1    [7] COMBINING BREVE..COMBINING CARON
031B          ; Allowed    # 1.1        COMBINING HORN
0323          ; Allowed    # 1.1        COMBINING DOT BELOW
0326..0328    ; Allowed    # 1.1    [3] COMBINING COMMA BELOW..COMBINING OGONEK
0331          ; Allowed    # 1.1        COMBINING MACRON BELOW
0386          ; Allowed    # 1.1        GREEK CAPITAL LETTER ALPHA WITH TONOS
0388..038A    ; Allowed    # 1.1    [3] GREEK CAPITAL LETTER EPSILON WITH TONOS..GREEK CAPITAL LETTER IOTA WITH TONOS
038C          ; Allowed    # 1.1        GREEK CAPITAL LETTER OMICRON WITH TONOS
038E..03A1    ; Allowed    # 1.1   [20] GREEK CAPITAL LETTER UPSILON WITH TONOS..GREEK CAPITAL LETTER RHO
03A3..03CE    ; Allowed    # 1.1   [44] GREEK CAPITAL LETTER SIGMA..GREEK SMALL LETTER OMEGA WITH TONOS
0401..040C    ; Allowed    # 1.1   [12] CYRILLIC CAPITAL LETTER IO..CYRILLIC CAPITAL LETTER KJE
040E..044F    ; Allowed    # 1.1   [66] CYRILLIC CAPITAL LETTER SHORT U..CYRILLIC SMALL LETTER YA
0451..045C    ; Allowed    # 1.1   [12] CYRILLIC SMALL LETTER IO..CYRILLIC SMALL LETTER KJE
045E..045F    ; Allowed    # 1.1    [2] CYRILLIC SMALL LETTER SHORT U..CYRILLIC SMALL LETTER DZHE
0490..049B    ; Allowed    # 1.1   [12] CYRILLIC CAPITAL LETTER GHE WITH UPTURN..CYRILLIC SMALL LETTER KA WITH DESCENDER
049E..04A5    ; Allowed    # 1.1    [8] CYRILLIC CAPITAL LETTER KA WITH STROKE..CYRILLIC SMALL LIGATURE EN GHE
04A8..04B7    ; Allowed    # 1.1   [16] CYRILLIC CAPITAL LETTER ABKHASIAN HA..CYRILLIC SMALL LETTER CHE WITH DESCENDER
04BA..04C0    ; Allowed    # 1.1    [7] CYRILLIC CAPITAL LETTER SHHA..CYRILLIC LETTER PALOCHKA
04CF          ; Allowed    # 5.0        CYRILLIC SMALL LETTER PALOCHKA
04D0..04D9    ; Allowed    # 1.1   [10] CYRILLIC CAPITAL LETTER A WITH BREVE..CYRILLIC SMALL LETTER SCHWA
04DC..04E9    ; Allowed    # 1.1   [14] CYRILLIC CAPITAL LETTER ZHE WITH DIAERESIS..CYRILLIC SMALL LETTER BARRED O
04EE..04F5    ; Allowed    # 1.1    [8] CYRILLIC CAPITAL LETTER U WITH MACRON..CYRILLIC SMALL LETTER CHE WITH DIAERESIS
04F8..04F9    ; Allowed    # 1.1    [2] CYRILLIC CAPITAL LETTER YERU WITH DIAERESIS..CYRILLIC SMALL LETTER YERU WITH DIAERESIS
0524..0525    ; Allowed    # 5.2    [2] CYRILLIC CAPITAL LETTER PE WITH DESCENDER..CYRILLIC SMALL LETTER PE WITH DESCENDER
0531..0556    ; Allowed    # 1.1   [38] ARMENIAN CAPITAL LETTER AYB..ARMENIAN CAPITAL LETTER FEH
0561..0586    ; Allowed    # 1.1   [38] ARMENIAN SMALL LETTER AYB..ARMENIAN SMALL LETTER FEH
058A          ; Allowed    # 3.0        ARMENIAN HYPHEN
05D0..05EA    ; Allowed    # 1.1   [27] HEBREW LETTER ALEF..HEBREW LETTER TAV
05F3..05F4    ; Allowed    # 1.1    [2] HEBREW PUNCTUATION GERESH..HEBREW PUNCTUATION GERSHAYIM
0620          ; Allowed    # 6.0        ARABIC LETTER KASHMIRI YEH
0621..063A    ; Allowed    # 1.1   [26] ARABIC LETTER HAMZA..ARABIC LETTER GHAIN
063D          ; Allowed    # 5.1        ARABIC LETTER FARSI YEH WITH INVERTED V
0641..0652    ; Allowed    # 1.1   [18] ARABIC LETTER FEH..ARABIC SUKUN
0654..0655    ; Allowed    # 3.0    [2] ARABIC HAMZA ABOVE..ARABIC HAMZA BELOW
0660..0669    ; Allowed    # 1.1   [10] ARABIC-INDIC DIGIT ZERO..ARABIC-INDIC DIGIT NINE
0670          ; Allowed    # 1.1        ARABIC LETTER SUPERSCRIPT ALEF
0672          ; Allowed    # 1.1        ARABIC LETTER ALEF WITH WAVY HAMZA ABOVE
0674          ; Allowed    # 1.1        ARABIC LETTER HIGH HAMZA
0679..068F    ; Allowed    # 1.1   [23] ARABIC LETTER TTEH..ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS
0691..069A    ; Allowed    # 1.1   [10] ARABIC LETTER RREH..ARABIC LETTER SEEN WITH DOT BELOW AND DOT ABOVE
069F..06A0    ; Allowed    # 1.1    [2] ARABIC LETTER TAH WITH THREE DOTS ABOVE..ARABIC LETTER AIN WITH THREE DOTS ABOVE
06A2          ; Allowed    # 1.1        ARABIC LETTER FEH WITH DOT MOVED BELOW
06A4..06AB    ; Allowed    # 1.1    [8] ARABIC LETTER VEH..ARABIC LETTER KAF WITH RING
06AD..06B1    ; Allowed    # 1.1    [5] ARABIC LETTER NG..ARABIC LETTER NGOEH
06B3          ; Allowed    # 1.1        ARABIC LETTER GUEH
06B5..06B7    ; Allowed    # 1.1    [3] ARABIC LETTER LAM WITH SMALL V..ARABIC LETTER LAM WITH THREE DOTS ABOVE
06BA..06BE    ; Allowed    # 1.1    [5] ARABIC LETTER NOON GHUNNA..ARABIC LETTER HEH DOACHASHMEE
06C0..06CE    ; Allowed    # 1.1   [15] ARABIC LETTER HEH WITH YEH ABOVE..ARABIC LETTER YEH WITH SMALL V
06CF          ; Allowed    # 3.0        ARABIC LETTER WAW WITH DOT ABOVE
06D0..06D3    ; Allowed    # 1.1    [4] ARABIC LETTER E..ARABIC LETTER YEH BARREE WITH HAMZA ABOVE
06D5          ; Allowed    # 1.1        ARABIC LETTER AE
06EE..06EF    ; Allowed    # 4.0    [2] ARABIC LETTER DAL WITH INVERTED V..ARABIC LETTER REH WITH INVERTED V
06F0..06F9    ; Allowed    # 1.1   [10] EXTENDED ARABIC-INDIC DIGIT ZERO..EXTENDED ARABIC-INDIC DIGIT NINE
06FD..06FE    ; Allowed    # 3.0    [2] ARABIC SIGN SINDHI AMPERSAND..ARABIC SIGN SINDHI POSTPOSITION MEN
06FF          ; Allowed    # 4.0        ARABIC LETTER HEH WITH INVERTED V
0751..0752    ; Allowed    # 4.1    [2] ARABIC LETTER BEH WITH DOT BELOW AND THREE DOTS ABOVE..ARABIC LETTER BEH WITH THREE DOTS POINTING UPWARDS BELOW
0756          ; Allowed    # 4.1        ARABIC LETTER BEH WITH SMALL V
0760          ; Allowed    # 4.1        ARABIC LETTER FEH WITH TWO DOTS BELOW
0762..0763    ; Allowed    # 4.1    [2] ARABIC LETTER KEHEH WITH DOT ABOVE..ARABIC LETTER KEHEH WITH THREE DOTS ABOVE
0766..0768    ; Allowed    # 4.1    [3] ARABIC LETTER MEEM WITH DOT BELOW..ARABIC LETTER NOON WITH SMALL TAH
076A          ; Allowed    # 4.1        ARABIC LETTER LAM WITH BAR
076E..0771    ; Allowed    # 5.1    [4] ARABIC LETTER HAH WITH SMALL ARABIC LETTER TAH BELOW..ARABIC LETTER REH WITH SMALL ARABIC LETTER TAH AND TWO DOTS
0780..07B0    ; Allowed    # 3.0   [49] THAANA LETTER HAA..THAANA SUKUN
07B1          ; Allowed    # 3.2        THAANA LETTER NAA
088F          ; Allowed    # 17.0       ARABIC LETTER NOON WITH RING ABOVE
08A0          ; Allowed    # 6.1        ARABIC LETTER BEH WITH SMALL V BELOW
08A2..08A9    ; Allowed    # 6.1    [8] ARABIC LETTER JEEM WITH TWO DOTS ABOVE..ARABIC LETTER YEH WITH TWO DOTS BELOW AND DOT ABOVE
08BB..08BD    ; Allowed    # 9.0    [3] ARABIC LETTER AFRICAN FEH..ARABIC LETTER AFRICAN NOON
08BE..08C2    ; Allowed    # 13.0   [5] ARABIC LETTER PEH WITH SMALL V..ARABIC LETTER KEHEH WITH SMALL V
08C7          ; Allowed    # 13.0       ARABIC LETTER LAM WITH SMALL ARABIC LETTER TAH ABOVE
0901..0903    ; Allowed    # 1.1    [3] DEVANAGARI SIGN CANDRABINDU..DEVANAGARI SIGN VISARGA
0905..090B    ; Allowed    # 1.1    [7] DEVANAGARI LETTER A..DEVANAGARI LETTER VOCALIC R
090D..0928    ; Allowed    # 1.1   [28] DEVANAGARI LETTER CANDRA E..DEVANAGARI LETTER NA
092A..0933    ; Allowed    # 1.1   [10] DEVANAGARI LETTER PA..DEVANAGARI LETTER LLA
0935..0939    ; Allowed    # 1.1    [5] DEVANAGARI LETTER VA..DEVANAGARI LETTER HA
093A..093B    ; Allowed    # 6.0    [2] DEVANAGARI VOWEL SIGN OE..DEVANAGARI VOWEL SIGN OOE
093C          ; Allowed    # 1.1        DEVANAGARI SIGN NUKTA
093E..0943    ; Allowed    # 1.1    [6] DEVANAGARI VOWEL SIGN AA..DEVANAGARI VOWEL SIGN VOCALIC R
0945..094D    ; Allowed    # 1.1    [9] DEVANAGARI VOWEL SIGN CANDRA E..DEVANAGARI SIGN VIRAMA
094F          ; Allowed    # 6.0        DEVANAGARI VOWEL SIGN AW
0956..0957    ; Allowed    # 6.0    [2] DEVANAGARI VOWEL SIGN UE..DEVANAGARI VOWEL SIGN UUE
0966..096F    ; Allowed    # 1.1   [10] DEVANAGARI DIGIT ZERO..DEVANAGARI DIGIT NINE
0972          ; Allowed    # 5.1        DEVANAGARI LETTER CANDRA A
0973..0977    ; Allowed    # 6.0    [5] DEVANAGARI LETTER OE..DEVANAGARI LETTER UUE
097B..097C    ; Allowed    # 5.0    [2] DEVANAGARI LETTER GGA..DEVANAGARI LETTER JJA
097E..097F    ; Allowed    # 5.0    [2] DEVANAGARI LETTER DDDA..DEVANAGARI LETTER BBA
0981..0983    ; Allowed    # 1.1    [3] BENGALI SIGN CANDRABINDU..BENGALI SIGN VISARGA
0985..098B    ; Allowed    # 1.1    [7] BENGALI LETTER A..BENGALI LETTER VOCALIC R
098F..0990    ; Allowed    # 1.1    [2] BENGALI LETTER E..BENGALI LETTER AI
0993..09A8    ; Allowed    # 1.1   [22] BENGALI LETTER O..BENGALI LETTER NA
09AA..09B0    ; Allowed    # 1.1    [7] BENGALI LETTER PA..BENGALI LETTER RA
09B2          ; Allowed    # 1.1        BENGALI LETTER LA
09B6..09B9    ; Allowed    # 1.1    [4] BENGALI LETTER SHA..BENGALI LETTER HA
09BC          ; Allowed    # 1.1        BENGALI SIGN NUKTA
09BE..09C4    ; Allowed    # 1.1    [7] BENGALI VOWEL SIGN AA..BENGALI VOWEL SIGN VOCALIC RR
09C7..09C8    ; Allowed    # 1.1    [2] BENGALI VOWEL SIGN E..BENGALI VOWEL SIGN AI
09CB..09CD    ; Allowed    # 1.1    [3] BENGALI VOWEL SIGN O..BENGALI SIGN VIRAMA
09CE          ; Allowed    # 4.1        BENGALI LETTER KHANDA TA
09E6..09F1    ; Allowed    # 1.1   [12] BENGALI DIGIT ZERO..BENGALI LETTER RA WITH LOWER DIAGONAL
0A02          ; Allowed    # 1.1        GURMUKHI SIGN BINDI
0A05..0A0A    ; Allowed    # 1.1    [6] GURMUKHI LETTER A..GURMUKHI LETTER UU
0A0F..0A10    ; Allowed    # 1.1    [2] GURMUKHI LETTER EE..GURMUKHI LETTER AI
0A13..0A28    ; Allowed    # 1.1   [22] GURMUKHI LETTER OO..GURMUKHI LETTER NA
0A2A..0A30    ; Allowed    # 1.1    [7] GURMUKHI LETTER PA..GURMUKHI LETTER RA
0A32          ; Allowed    # 1.1        GURMUKHI LETTER LA
0A35          ; Allowed    # 1.1        GURMUKHI LETTER VA
0A38..0A39    ; Allowed    # 1.1    [2] GURMUKHI LETTER SA..GURMUKHI LETTER HA
0A3C          ; Allowed    # 1.1        GURMUKHI SIGN NUKTA
0A3E..0A42    ; Allowed    # 1.1    [5] GURMUKHI VOWEL SIGN AA..GURMUKHI VOWEL SIGN UU
0A47..0A48    ; Allowed    # 1.1    [2] GURMUKHI VOWEL SIGN EE..GURMUKHI VOWEL SIGN AI
0A4B..0A4D    ; Allowed    # 1.1    [3] GURMUKHI VOWEL SIGN OO..GURMUKHI SIGN VIRAMA
0A5C          ; Allowed    # 1.1        GURMUKHI LETTER RRA
0A70..0A71    ; Allowed    # 1.1    [2] GURMUKHI TIPPI..GURMUKHI ADDAK
0A82..0A83    ; Allowed    # 1.1    [2] GUJARATI SIGN ANUSVARA..GUJARATI SIGN VISARGA
0A85..0A8B    ; Allowed    # 1.1    [7] GUJARATI LETTER A..GUJARATI LETTER VOCALIC R
0A8C          ; Allowed    # 4.0        GUJARATI LETTER VOCALIC L
0A8D          ; Allowed    # 1.1        GUJARATI VOWEL CANDRA E
0A8F..0A91    ; Allowed    # 1.1    [3] GUJARATI LETTER E..GUJARATI VOWEL CANDRA O
0A93..0AA8    ; Allowed    # 1.1   [22] GUJARATI LETTER O..GUJARATI LETTER NA
0AAA..0AB0    ; Allowed    # 1.1    [7] GUJARATI LETTER PA..GUJARATI LETTER RA
0AB2..0AB3    ; Allowed    # 1.1    [2] GUJARATI LETTER LA..GUJARATI LETTER LLA
0AB5..0AB9    ; Allowed    # 1.1    [5] GUJARATI LETTER VA..GUJARATI LETTER HA
0ABC          ; Allowed    # 1.1        GUJARATI SIGN NUKTA
0ABE..0AC5    ; Allowed    # 1.1    [8] GUJARATI VOWEL SIGN AA..GUJARATI VOWEL SIGN CANDRA E
0AC7..0AC9    ; Allowed    # 1.1    [3] GUJARATI VOWEL SIGN E..GUJARATI VOWEL SIGN CANDRA O
0ACB..0ACD    ; Allowed    # 1.1    [3] GUJARATI VOWEL SIGN O..GUJARATI SIGN VIRAMA
0AE6..0AEF    ; Allowed    # 1.1   [10] GUJARATI DIGIT ZERO..GUJARATI DIGIT NINE
0B01..0B03    ; Allowed    # 1.1    [3] ORIYA SIGN CANDRABINDU..ORIYA SIGN VISARGA
0B05..0B0B    ; Allowed    # 1.1    [7] ORIYA LETTER A..ORIYA LETTER VOCALIC R
0B0F..0B10    ; Allowed    # 1.1    [2] ORIYA LETTER E..ORIYA LETTER AI
0B13..0B28    ; Allowed    # 1.1   [22] ORIYA LETTER O..ORIYA LETTER NA
0B2A..0B30    ; Allowed    # 1.1    [7] ORIYA LETTER PA..ORIYA LETTER RA
0B32..0B33    ; Allowed    # 1.1    [2] ORIYA LETTER LA..ORIYA LETTER LLA
0B36..0B39    ; Allowed    # 1.1    [4] ORIYA LETTER SHA..ORIYA LETTER HA
0B3C          ; Allowed    # 1.1        ORIYA SIGN NUKTA
0B3E..0B43    ; Allowed    # 1.1    [6] ORIYA VOWEL SIGN AA..ORIYA VOWEL SIGN VOCALIC R
0B47..0B48    ; Allowed    # 1.1    [2] ORIYA VOWEL SIGN E..ORIYA VOWEL SIGN AI
0B4B..0B4D    ; Allowed    # 1.1    [3] ORIYA VOWEL SIGN O..ORIYA SIGN VIRAMA
0B56          ; Allowed    # 1.1        ORIYA AI LENGTH MARK
0B5F          ; Allowed    # 1.1        ORIYA LETTER YYA
0B71          ; Allowed    # 4.0        ORIYA LETTER WA
0B83          ; Allowed    # 1.1        TAMIL SIGN VISARGA
0B85..0B8A    ; Allowed    # 1.1    [6] TAMIL LETTER A..TAMIL LETTER UU
0B8E..0B90    ; Allowed    # 1.1    [3] TAMIL LETTER E..TAMIL LETTER AI
0B92..0B95    ; Allowed    # 1.1    [4] TAMIL LETTER O..TAMIL LETTER KA
0B99..0B9A    ; Allowed    # 1.1    [2] TAMIL LETTER NGA..TAMIL LETTER CA
0B9C          ; Allowed    # 1.1        TAMIL LETTER JA
0B9E..0B9F    ; Allowed    # 1.1    [2] TAMIL LETTER NYA..TAMIL LETTER TTA
0BA3..0BA4    ; Allowed    # 1.1    [2] TAMIL LETTER NNA..TAMIL LETTER TA
0BA8..0BAA    ; Allowed    # 1.1    [3] TAMIL LETTER NA..TAMIL LETTER PA
0BAE..0BB5    ; Allowed    # 1.1    [8] TAMIL LETTER MA..TAMIL LETTER VA
0BB6          ; Allowed    # 4.1        TAMIL LETTER SHA
0BB7..0BB9    ; Allowed    # 1.1    [3] TAMIL LETTER SSA..TAMIL LETTER HA
0BBE..0BC2    ; Allowed    # 1.1    [5] TAMIL VOWEL SIGN AA..TAMIL VOWEL SIGN UU
0BC6..0BC8    ; Allowed    # 1.1    [3] TAMIL VOWEL SIGN E..TAMIL VOWEL SIGN AI
0BCA..0BCD    ; Allowed    # 1.1    [4] TAMIL VOWEL SIGN O..TAMIL SIGN VIRAMA
0C02..0C03    ; Allowed    # 1.1    [2] TELUGU SIGN ANUSVARA..TELUGU SIGN VISARGA
0C05..0C0B    ; Allowed    # 1.1    [7] TELUGU LETTER A..TELUGU LETTER VOCALIC R
0C0E..0C10    ; Allowed    # 1.1    [3] TELUGU LETTER E..TELUGU LETTER AI
0C12..0C28    ; Allowed    # 1.1   [23] TELUGU LETTER O..TELUGU LETTER NA
0C2A..0C30    ; Allowed    # 1.1    [7] TELUGU LETTER PA..TELUGU LETTER RA
0C32..0C33    ; Allowed    # 1.1    [2] TELUGU LETTER LA..TELUGU LETTER LLA
0C35..0C39    ; Allowed    # 1.1    [5] TELUGU LETTER VA..TELUGU LETTER HA
0C3E..0C44    ; Allowed    # 1.1    [7] TELUGU VOWEL SIGN AA..TELUGU VOWEL SIGN VOCALIC RR
0C46..0C48    ; Allowed    # 1.1    [3] TELUGU VOWEL SIGN E..TELUGU VOWEL SIGN AI
0C4A..0C4D    ; Allowed    # 1.1    [4] TELUGU VOWEL SIGN O..TELUGU SIGN VIRAMA
0C82..0C83    ; Allowed    # 1.1    [2] KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0C85..0C8B    ; Allowed    # 1.1    [7] KANNADA LETTER A..KANNADA LETTER VOCALIC R
0C8E..0C90    ; Allowed    # 1.1    [3] KANNADA LETTER E..KANNADA LETTER AI
0C92..0CA8    ; Allowed    # 1.1   [23] KANNADA LETTER O..KANNADA LETTER NA
0CAA..0CB0    ; Allowed    # 1.1    [7] KANNADA LETTER PA..KANNADA LETTER RA
0CB2..0CB3    ; Allowed    # 1.1    [2] KANNADA LETTER LA..KANNADA LETTER LLA
0CB5..0CB9    ; Allowed    # 1.1    [5] KANNADA LETTER VA..KANNADA LETTER HA
0CBE..0CC3    ; Allowed    # 1.1    [6] KANNADA VOWEL SIGN AA..KANNADA VOWEL SIGN VOCALIC R
0CC6..0CC8    ; Allowed    # 1.1    [3] KANNADA VOWEL SIGN E..KANNADA VOWEL SIGN AI
0CCA..0CCD    ; Allowed    # 1.1    [4] KANNADA VOWEL SIGN O..KANNADA SIGN VIRAMA
0CE6..0CEF    ; Allowed    # 1.1   [10] KANNADA DIGIT ZERO..KANNADA DIGIT NINE
0D02..0D03    ; Allowed    # 1.1    [2] MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISARGA
0D05..0D0B    ; Allowed    # 1.1    [7] MALAYALAM LETTER A..MALAYALAM LETTER VOCALIC R
0D0E..0D10    ; Allowed    # 1.1    [3] MALAYALAM LETTER E..MALAYALAM LETTER AI
0D12..0D28    ; Allowed    # 1.1   [23] MALAYALAM LETTER O..MALAYALAM LETTER NA
0D2A..0D39    ; Allowed    # 1.1   [16] MALAYALAM LETTER PA..MALAYALAM LETTER HA
0D3E..0D43    ; Allowed    # 1.1    [6] MALAYALAM VOWEL SIGN AA..MALAYALAM VOWEL SIGN VOCALIC R
0D46..0D48    ; Allowed    # 1.1    [3] MALAYALAM VOWEL SIGN E..MALAYALAM VOWEL SIGN AI
0D4A..0D4B    ; Allowed    # 1.1    [2] MALAYALAM VOWEL SIGN O..MALAYALAM VOWEL SIGN OO
0D4D          ; Allowed    # 1.1        MALAYALAM SIGN VIRAMA
0D57          ; Allowed    # 1.1        MALAYALAM AU LENGTH MARK
0D7A..0D7F    ; Allowed    # 5.1    [6] MALAYALAM LETTER CHILLU NN..MALAYALAM LETTER CHILLU K
0D82..0D83    ; Allowed    # 3.0    [2] SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARGAYA
0D85..0D8D    ; Allowed    # 3.0    [9] SINHALA LETTER AYANNA..SINHALA LETTER IRUYANNA
0D91..0D96    ; Allowed    # 3.0    [6] SINHALA LETTER EYANNA..SINHALA LETTER AUYANNA
0D9A..0D9D    ; Allowed    # 3.0    [4] SINHALA LETTER ALPAPRAANA KAYANNA..SINHALA LETTER MAHAAPRAANA GAYANNA
0D9F..0DB1    ; Allowed    # 3.0   [19] SINHALA LETTER SANYAKA GAYANNA..SINHALA LETTER DANTAJA NAYANNA
0DB3..0DBB    ; Allowed    # 3.0    [9] SINHALA LETTER SANYAKA DAYANNA..SINHALA LETTER RAYANNA
0DBD          ; Allowed    # 3.0        SINHALA LETTER DANTAJA LAYANNA
